0 0 -nan -nan
3 0 -nan -nan
6 0 -nan -nan
9 0 -nan -nan
12 0 -nan -nan
15 0 -nan -nan
18 0 -nan -nan
21 0 -nan -nan
24 0 -nan -nan
27 0 -nan -nan
30 0 -nan -nan
33 0 -nan -nan
36 0 -nan -nan
39 0 -nan -nan
42 0 -nan -nan
45 0 -nan -nan
48 0 -nan -nan
51 0 -nan -nan
54 0 -nan -nan
57 0 -nan -nan
60 0 -nan -nan
63 0 -nan -nan
66 0 -nan -nan
69 0 -nan -nan
72 0 -nan -nan
75 0 -nan -nan
78 0 -nan -nan
81 0 -nan -nan
84 0 -nan -nan
87 0 -nan -nan
90 0 -nan -nan
93 0 -nan -nan
96 0 -nan -nan
99 0 -1 0

0 3 -nan -nan
3 3 -nan -nan
6 3 -nan -nan
9 3 -nan -nan
12 3 -nan -nan
15 3 -nan -nan
18 3 -nan -nan
21 3 -nan -nan
24 3 -nan -nan
27 3 -nan -nan
30 3 -nan -nan
33 3 -nan -nan
36 3 -nan -nan
39 3 -nan -nan
42 3 -nan -nan
45 3 -nan -nan
48 3 -nan -nan
51 3 -nan -nan
54 3 -nan -nan
57 3 -nan -nan
60 3 -nan -nan
63 3 -nan -nan
66 3 -nan -nan
69 3 -nan -nan
72 3 -nan -nan
75 3 -nan -nan
78 3 -nan -nan
81 3 -nan -nan
84 3 -nan -nan
87 3 -nan -nan
90 3 -nan -nan
93 3 -nan -nan
96 3 -nan -nan
99 3 -1 0

0 6 -nan -nan
3 6 -nan -nan
6 6 -nan -nan
9 6 -nan -nan
12 6 -nan -nan
15 6 -nan -nan
18 6 -nan -nan
21 6 -nan -nan
24 6 -nan -nan
27 6 -nan -nan
30 6 -nan -nan
33 6 -nan -nan
36 6 -nan -nan
39 6 -nan -nan
42 6 -nan -nan
45 6 -nan -nan
48 6 -nan -nan
51 6 -nan -nan
54 6 -nan -nan
57 6 -nan -nan
60 6 -nan -nan
63 6 -nan -nan
66 6 -nan -nan
69 6 -nan -nan
72 6 -nan -nan
75 6 -nan -nan
78 6 -nan -nan
81 6 -nan -nan
84 6 -nan -nan
87 6 -nan -nan
90 6 -nan -nan
93 6 -nan -nan
96 6 -nan -nan
99 6 -1 0

0 9 -nan -nan
3 9 -nan -nan
6 9 -nan -nan
9 9 -nan -nan
12 9 -nan -nan
15 9 -nan -nan
18 9 -nan -nan
21 9 -nan -nan
